Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nepal,NPL,0.007983533,0.0078574,0.008435424,0.009336402,0.013941716,0.016375143,0.017067219,0.018684584,0.021804944,0.033773949,0.018829072,0.016067696,0.021273784,0.032811877,0.032393845,0.026231171,0.020580896,0.024048411,0.023002388,0.034978707,0.036141547,0.029589458,0.028208713,0.030746958,0.042728882,0.040240985,0.040839754,0.049521176,0.055145143,0.049502934,0.041120568,0.055934234,0.065842358,0.073017951,0.082259964,0.113021273,0.112548048,0.123235808,0.097647212,0.136947296,0.128201199,0.134196524,0.106188288,0.113310454,0.105021436,0.119790518,0.098333647,0.099102169,0.128299599,0.161228574,0.187197028,0.204630508,0.21697773,0.246574529,0.298463303,0.231435418,0.333997918
Least developed countries: UN classification,LDC,0.140172965,0.141567373,0.149249702,0.157802259,0.162698986,0.174821753,0.176934291,0.184316686,0.199004442,0.212136021,0.220514264,0.216811523,0.150442093,0.15706281,0.154236,0.147201828,0.137693269,0.138725986,0.142888027,0.149614324,0.152932683,0.146625621,0.141338434,0.142842901,0.143553783,0.143778172,0.142249061,0.14556794,0.147647419,0.142481219,0.137966533,0.14506757,0.142376016,0.138630442,0.135983458,0.159275886,0.159094188,0.15834818,0.155599519,0.16491658,0.16931894,0.178906163,0.184795053,0.187618464,0.212202761,0.214541583,0.227663656,0.235797561,0.244185037,0.260079651,0.278232587,0.287765575,0.288088726,0.302332619,0.331658064,0.328037636,0.341969015
Cameroon,CMR,0.052416901,0.053426318,0.053659482,0.054492268,0.05978413,0.053986781,0.058325699,0.075734169,0.081601725,0.089986428,0.097865229,0.121143191,0.1254875,0.127383274,0.134591331,0.156010009,0.142576737,0.198516271,0.246541225,0.218733889,0.452983539,0.601091068,0.692051635,0.696833203,0.620822168,0.643039097,0.191895709,0.17188426,0.198656087,0.668197763,0.057899567,0.008459116,0.222669165,0.228330725,0.218119,0.239433741,0.259326068,0.224195366,0.217921459,0.203822084,0.221240439,0.21478626,0.20893307,0.225901762,0.229249619,0.208439099,0.211886527,0.311484739,0.287986298,0.339833528,0.33332691,0.301338806,0.280419195,0.227388469,0.299738143,0.340283663,0.346522621
Kenya,KEN,0.298956907,0.286699947,0.303639258,0.319940581,0.30655442,0.25895553,0.272472137,0.265284401,0.267547567,0.287023305,0.272882,0.314635012,0.318815274,0.311093259,0.378551725,0.366540446,0.326995814,0.345435549,0.350171196,0.31893464,0.377484049,0.382519188,0.264641054,0.252865529,0.225615573,0.189649356,0.201819997,0.241984375,0.216176403,0.226398569,0.245449919,0.197394121,0.218779907,0.242865188,0.24328279,0.272037578,0.326303852,0.280987008,0.331782383,0.327095324,0.325921833,0.285223579,0.236088309,0.194776581,0.21393672,0.233787564,0.254310303,0.25399794,0.257386809,0.302043563,0.28965606,0.311682104,0.282818574,0.292909589,0.309143145,0.35545402,0.36511748
IDA only,IDX,0.180975861,0.182221416,0.18714243,0.199502613,0.207807935,0.220181127,0.225698431,0.235751922,0.256848692,0.27122427,0.280566953,0.283529642,0.206686025,0.214039244,0.218131101,0.217741471,0.217731932,0.22420678,0.225018251,0.247682043,0.248449498,0.252133216,0.243059699,0.248339974,0.258696374,0.255161653,0.250725292,0.266919261,0.273807526,0.256814543,0.250618223,0.265333143,0.259658554,0.251106975,0.243589563,0.244826381,0.250302209,0.257307801,0.260290999,0.264789943,0.264364664,0.269986009,0.257456211,0.283659501,0.2921916,0.290223382,0.302792898,0.325059461,0.331140885,0.330623423,0.347579116,0.352283207,0.343282136,0.348074658,0.360021764,0.368891694,0.379888948
"Yemen, Rep.",YEM,0.011038209,0.013599019,0.012728752,0.014518157,0.017549818,0.017926059,0.017022833,0.017379518,0.021384233,0.022253276,0.027235837,0.034394348,0.039593157,0.05020339,0.055862301,0.089179396,0.104727207,0.120553166,0.128099914,0.136262933,0.150523464,0.165266263,0.229251762,0.280729409,0.320008805,0.329840083,0.3172302,0.325062103,0.317462195,0.312651949,0.321606426,0.748475385,0.768266089,0.638507369,0.634009607,0.701763357,0.687683662,0.716842701,0.741633987,0.821118176,0.841074757,0.904554225,0.85473309,0.911486595,0.966289064,0.996837633,1.030386492,0.985389791,1.020428239,1.090990014,1.01197481,0.865783086,0.764021452,1.013754066,0.955250966,0.49709107,0.390479572
Togo,TGO,0.04176239,0.057385607,0.054569975,0.065170576,0.079426114,0.0772619,0.101285266,0.106722819,0.099883337,0.118935165,0.130003375,0.14428672,0.177836893,0.17512357,0.160272203,0.129310094,0.130941807,0.183462334,0.13806626,0.523124491,0.264158225,0.222968901,0.251541696,0.180504748,0.193808292,0.169090383,0.210443699,0.220754786,0.221405754,0.22728307,0.205000805,0.218330765,0.211884473,0.214792905,0.202010816,0.225592606,0.243690623,0.219891613,0.251725762,0.321407743,0.276268469,0.229614541,0.237079979,0.274476099,0.255520628,0.238514053,0.211892491,0.237845036,0.276678743,0.445260993,0.410573777,0.375820713,0.355666909,0.36803288,0.362693064,0.360032243,0.399417466
Timor-Leste,TLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174866207,0.170358607,0.181106356,0.176876504,0.176778181,0.176911825,0.191092549,0.211634429,0.214616428,0.22071489,0.258924584,0.384729839,0.437168056,0.419943292,0.406011541
Cote d'Ivoire,CIV,0.131878125,0.152473887,0.155597033,0.159083741,0.187339475,0.277616113,0.295285428,0.327629461,0.374236469,0.426040823,0.478673337,0.507858137,0.540576302,0.549280442,0.581684565,0.622184226,0.590416521,0.577201211,0.655545715,0.705640237,0.774604196,0.532114656,0.697002814,0.529303064,0.56716656,0.73870954,0.578834418,0.718099242,0.82563083,0.740895091,0.422209051,0.369001603,0.319979027,0.402850348,0.341192447,0.466129996,0.534604712,0.500221834,0.443396718,0.390885668,0.412726893,0.458455888,0.422848418,0.310243409,0.426478538,0.426346238,0.37305611,0.353478286,0.345647505,0.282074856,0.339322893,0.344577055,0.431247827,0.483620536,0.489631014,0.471910597,0.406063977
Myanmar,MMR,0.125005946,0.116721272,0.126984945,0.113654005,0.120595563,0.112461669,0.113153754,0.142436854,0.112623681,0.120737995,0.169303653,0.182865577,0.171476912,0.140593863,0.156272243,0.149861251,0.156449468,0.16155677,0.157434914,0.152347202,0.161469099,0.161246898,0.156698561,0.158269118,0.176449908,0.176701551,0.175492258,0.126283542,0.10273105,0.109565008,0.103440218,0.099793754,0.115281058,0.124570267,0.143946693,0.158535596,0.163253833,0.166543989,0.177114337,0.194224184,0.215924263,0.18472781,0.19302763,0.204488464,0.256047135,0.236875833,0.26070104,0.259460989,0.196460952,0.203818034,0.260019433,0.297009754,0.233869445,0.252328593,0.312686183,0.423286251,0.476580079
Sudan,SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40455376,0.417417739,0.417028724,0.509382142,0.501909734
